,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
132,Which of these are not one of the three main components of the APK?,Hard,1," Input,
Variables, Operations",d,a.Dalvik Executable,b.Resources,c.Native Libraries,d.Webkit
133," If you want share the data across the all applications ,you should
 go for?",Hard,1," Input,
Variables, Operations",b,a.Shared Preferences,b.Content provider,c. Internal Storage,d.SQLite Databases
134,"If the UI begins to behave sluggishly or crash while making
 network calls, this is likely due to…",Hard,1," Input,
Variables, Operations",a,a.Network latency,b. Hardware malfunctions,c. Virus on the Server,d.Activity manager contains too much.
135,"How does Gargenta approach the problem of the app acting 
sluggishly due to network latency?",Hard,1," Input,
Variables, Operations",d,a.Starting over,b.Switching API levels,c.Refactoring code,d.Multithreading
136,"When developing for the Android OS, Java byte code is compiled into what?",Hard,1," Input,
Variables, Operations",b,a.Java source code,b.Dalvik byte code,c.Dalvik application code,d. C source code
137,Which of the following is NOT a state in the lifecycle of a service?,Hard,1," Input,
Variables, Operations",d,a.Starting,b.Running,c.Destroyed,d.pasued
138,What is contained within the manifest xml file?,Hard,1," Input,
Variables, Operations",a,a.The permissions the app requires,b.The list of strings used in the app,c.The source code,d. All other choices
139,"Status data will be exposed to the rest of the Android system via
 which one ?",Hard,1," Input,
Variables, Operations",c,a. Intents,b. Network receivers,c.A content provider,d.none
140,Which one is NOT related to fragment class?,Hard,1," Input,
Variables, Operations",d,a.dialogFragment,b.listFragment,c.preferenceFragment,d.cursorFragment
141,What are the indirect Direct subclasses of Activity?,Easy,1," Input,
Variables, Operations",d,a. launcherActivity,b.preferenceActivity,c.  tabActivity,d.all the above
142,"Once installed on a device, each Android application lives
 in_______?",Medium,1," Input,
Variables, Operations",c,a. device memory,b.external memory,c.security sandbox,d.none of the above
143,Which component is not activated by an Intent?,Hard,1," Input,
Variables, Operations",b,a.activity,b.contentProvider,c.services,d.broadcastReceiver
144,What are the indirect Direct subclasses of Services?,Expert,1," Input,
Variables, Operations",d,a.recognitionService,b.remoteViewsService,c.spellCheckerService,d.  inputMethodService
145,Which are the  screen densities in Android?,Easy,1," Input,
Variables, Operations",d,a.low density,b. medium density,c.extra high density,d.all of the above
146,You can shut down an activity by calling its _______ method,Medium,1," Input,
Variables, Operations",c,a.onDestory(),b.finishActivity(),c. finish(),d.none of the above
147,When contentProvider would be activated?,Hard,1," Input,
Variables, Operations",c,a.using Intent,b.using SQLite,c.using ContentResolver,d.none of the above
148,What are the Direct subclasses of Activity?,Expert,1," Input,
Variables, Operations",d,a.ListActivity,b.ActivityGroup,c.FragmentActivity,d.all the aove
149,How many ways to start services?,Easy,1," Input,
Variables, Operations",c,a.  Started,b. bound,c.a & b,d.messenger
150,What is Parent class of Activity?,Medium,1," Input,
Variables, Operations",b,a.  Object,b.context,c.activityGroup,d.contextThemeWrapper
151, Creating a UI (User Interface) in Android requires careful use of?,Expert,1," Input,
Variables, Operations",c,a. Java and SQL,b. XML and C++,c.XML and Java,d. Dream weaver
152,"What was the main reason for replacing the Java VM with the 
Dalvik VM when the project began?",Easy,1," Input,
Variables, Operations",b,a.There was not enough memory capability,b. Java virtual machine was not free,c.Java VM was too complicated to configure,d.Java VM ran too slow
153,Which piece of code used in Android is not open source?,Medium,1," Input,
Variables, Operations",b,a. Keypad driver,b.WiFi driver,c.Audio driver,d.Power management
154,"What is the name of XML file that contains all the text that your
 application uses?",Expert,1," Input,
Variables, Operations",c,a.stack.xml,b.text.xml,c.strings.xml,d.string.java
155,"When the activity is not in focus, but still visible on the screen it is 
in?",Easy,1," Input,
Variables, Operations",c,a.running state,b. stopped state,c.paused state,d.destroyed state
156,"The Emulator is identical to running a real phone EXCEPT when
 emulating/simulating what?",Medium,1," Input,
Variables, Operations",c,a.Telephony,b.  Applications,c.Sensors,d.The emulator can emulate/simulate all 
157,W is the dialog classes in android?,Expert,1," Input,
Variables, Operations",d,a.AlertDialog,b.ProgressDialog,c.DatePickerDialog,d.All of the above
158,Which among these are NOT a part of Android’s native libraries?,Easy,1," Input,
Variables, Operations",b,a. Webkit,b.Dalvik,c.OpenGL,d.SQLite
159,"What is the name of the program that converts Java byte code into
 Dalvik byte code?",Medium,1," Input,
Variables, Operations",c,a. Android Interpretive Compiler (AIC),b. Dalvik Converter,c.Dex compiler,d.Mobile Interpretive Compiler (MIC)
160,"While developing Android applications, developers can test their apps on..?",Medium,1," Input,
Variables, Operations",d,a.Emulator included in Android SDK,b.Physical Android phone,"c.Third-party Emulators (Youwave, etc.)",d.All three options will work
161,to create image as an app icon it should be stored in ,Easy,1,Icon and Decision making Control,a,a) drawable,b) mipmap,c) values,d) layout
162,to create image as an app icon which file it's source path should be stored in ,Medium,1,Icon and Decision making Control,b,a)MainActivity,b)AndroidManifest,c)AndroidTest,d)UnitTest
163,the basic attribute of RadioButton is___ ,Hard,1,Icon and Decision making Control,c,a) android:text,b) android:layout_width,c) android:checkedButton,d) android:onClick
164,to declare app name where it should be written,Expert,1,Icon and Decision making Control,a,a) values,b) layout,c) drawable,d) mipmap
165,to create a view as big as its parent view which property should be used,Expert,1,Icon and Decision making Control,b,a) wrap_content,b) match_parent,c) 10dp,d) none
166,"From which API level the view property ""fill_parent"" is depreacated  and replaced it by ""match_parent""",Expert,1,Icon and Decision making Control,b,a) API level 9,b) API level 8,c) API level 7,d) API level 6
167,to change app icon color which xml file it should be defined,Easy,1,Icon and Decision making Control,c,a) strings,b) styles,c) colors,d) activity_main
168,"to uniquely defined every view by it's id of 
Xml component which method skould be used?",Medium,1,Icon and Decision making Control,c,a) finalize(),b) setFeatureDrawable(),c) findViewById(),d) none
169,the android platform supports __ broad categories of sensors,Easy,1,Icon and Decision making Control,a,a) three,b) two,c) four,d) five
170,which sensor android platform support ?,Medium,1,Icon and Decision making Control,d,a) Motion ,b) Environmental,c) position,d) all of the above
171,"first which method used to instantiate 
the object of SensorManager class",Hard,1,Icon and Decision making Control,a,a) getSystemService(),b)getDefaultSensor(),c) getOrientation(),d) none
172,Which file the activity name should be declared to start as launch activity when app is running?,Expert,1,Icon and Decision making Control,d,a) AndroidTest,b) UnitTest,c) Gradle,d) AndroidManifest
173,which file should be define minSDK and target SDK version ,Medium,1,Icon and Decision making Control,a,a)build.gradle,b) settings.gradle,c) AndroidManifest,d) none
174,"android:id=""@+id/textView2"" it define",Medium,1,Icon and Decision making Control,a,a) TextView Id,b) EditText Id,c) Button Id,d.none
175,"android:layout_width=""wrap_content"" is used to define view width",Hard,1,Icon and Decision making Control,a,a) as big as to enclose its view content,b) as big as to enclose its child view content,c) as big as to enclose its parent view content,d) none
176,"android:layout_below=""@+id/imageView"" is used to 
define that the view will appear",Expert,1,Icon and Decision making Control,a,a) below of Image View,b) top of Image View,c) align of Image View,d) none
177,"android:layout_centerHorizontal=""true"" is define that view 
will appear horizontally at",Easy,1,Icon and Decision making Control,b,a) top,b) center,c) bottom,d) none
178,"What is the ""Params"" parameter type of Async Task?",Medium,1,Evaluation-Android,c.string,a.array,b.integer,c.string,d.structure
179,"What is the ""Progress"" parameter type of Async Task?",Medium,1,Evaluation-Android,d.void,a.array,b.integer,c.string,d.void
180,"What is the ""Result"" parameter type of Async Task?",Medium,1,Evaluation-Android,a.Bitmap,a.Bitmap,b.HashMap,c.String,d.Void
181,Which method downloads content in Async Task?,Easy,1,Evaluation-Android,c.doInBackground(),a.onProgressUpdate(),b.publishProgress(),c.doInBackground(),d.Progress()
182,Which method updates the percent progress in Async Task?,Hard,1,Evaluation-Android,a.onProgressUpdate(),a.onProgressUpdate(),b.publishProgress(),c.doInBackground(),d.Progress()
183,Which one is a android state?,Easy,1,Evaluation-Android,d) All of the above,a) Foreground,b) Visible,c) Background,d) All of the above
184,What role does Dalvik play in Android development?,Expert,1,Evaluation-Android,c) Virtual Machine,a) API,b) Services,c) Virtual Machine,d) Debugger
185,Which method is used for garbage collection?,Medium,1,Evaluation-Android,a) System.gc(),a) system.gc(),b) Activity#garbage(),c) garbage(),d) gc()
186,What is the functionality of MODE_WORLD_WRITEABLE in shared preferences?,Hard,1,Evaluation-Android,b) Allow other application to write the preferences in my application,a) Application can write in resources of another,b) Allow other application to write the preferences in my application,c) Aone of the above,d) Database manipulation permission
187,Which method to use for copying data into clipbord?,Expert,1,Evaluation-Android,a) ClipData ,a) ClipData ,b) GlobalMemory,c)  Clipbord,d) SharedPreferences
188,What is the name of the AI inside Android?,Easy,1,Evaluation-Android,d) Google assistant,a) Siri,b) Home,c) Google secretary,d) Google assistant
189,What is a Sticky Intent?,Expert,1,Evaluation-Android,c) broadcast from sendStickyBroadcast() method,a) Create widget,b) Create sticky note,c) broadcast from sendStickyBroadcast() method,d) push notifications
190,"Which of these classes are used by character streams for input and
 output operations?",Medium,1,Evaluation-Android,b,a.InputStream,b.Writer,c.ReadStream,d.InputOutputStream
191,Which of these class is used to read from byte array?,Medium,1,Evaluation-Android,d,a.InputStream,b.BufferedInputStream,c.ArrayInputStream.,d.ByteArrayInputStream.
192,Which exception is thrown by read() method?,Medium,1,Evaluation-Android,a,a.IOException,b.InterruptedException,c.SystemException,d.InterruptedException
193,Which of these is used to read a string from the input stream?,Medium,1,Evaluation-Android,d,a.get(),b.getl_ine(),c.read(),d.read_line()
194,"Which of these class is used to read characters and strings in Java
 from console?",Medium,1,Evaluation-Android,a,a.BufferedReader,b.StringReader,c.BufferedStreamReader,d.InputStreamReader
195,"Which of these classes are used by Byte streams for input and
 output operation?",Medium,1,Evaluation-Android,b,a.Reader,b.InputStream,c.InputOutputStream,d.All of the mentioned
196,Which of these class is implemented by FilterInputStream class?,Medium,1,Evaluation-Android,a,a.FileInputStream,b.BufferedInputStream,c.InputStream,d.none
197,Which of these class contains the methods print() & println()?,Medium,1,Evaluation-Android,d,a.System,b.System.out,c.BUfferedOutputStream,d.PrintStream
198,Which of these methods can be used to writing console output?,Easy,1,Evaluation-Android,d,a.print(),b.println(),c.write(),d.all
199,"Which of these class is used to create an object whose character
 sequence is mutable?",Easy,1,Evaluation-Android,b,a.String(),b.StringBuffer(),c.Both of the mentioned,d.None of the mentioned
200," Which of these method of class StringBuffer is used to reverse 
sequence of characters?",Easy,1,Evaluation-Android,a,a.reverse(),b.reverseall(),c.Reverse(),d.reverseAll()
201,"Which of these classes are used by character streams output
 operations?",Easy,1,Evaluation-Android,b,a.ReadStream,b.Writer,c.InputStream,d.InputOutputStream
202,How to store heavy structured data in android?,Easy,1,Evaluation-Android,c,a.Shared Preferences,b.Cursor,c.SQlite database,"d.Not possible

"
203,What are the wake locks available in android?,Easy,1,Evaluation-Android,d,a.PARTIAL_WAKE_LOCK,b.SCREEN_DIM_WAKE_LOCK,c.FULL_WAKE_LOCK,d.FULL_WAKE_LOCK
204,What is APK in android?,Easy,1,Evaluation-Android,c,a. Android packages,b.Android pack,c. Android packaging kit,d.None of the above.
205,Fragment in Android can be found through,Easy,1,Evaluation-Android,d,a.findByID(),b.findFragmentByID(),c.findFragmentByID(),d.FragmentManager.findFragmentByID()
206,Is it possible activity without UI in android?,Easy,1,Evaluation-Android,b,"a.No, it's not possible","b.Yes,it's possible",c.We can't say,d.None of the above
207,How do you join two notifications in android?,Easy,1,Evaluation-Android,d,a.Give same id for both notifications,b.Write notification code two times,c.It is not possible in android,d.A & C
208,How to move services to foreground in android?,Hard,1,Evaluation-Android,d,a.Services always work in Foreground only,"b.No,We can't do this query",c.Using startService(Intent intent),d.startFordgroud
209,What are the functionalities in asyncTask in android?,Hard,1,Evaluation-Android,a,a.onPostExecution(),b.onProgressUpdate(),c.onPreExecution(),d.doInBackground()
210,The fields in an interface are implicitly specified as…?,Hard,1,Evaluation-Android,d,a.static only,b.protected,c. both static and final,d.none
211,What does AOAP stands for?,Hard,1,Evaluation-Android,d,a.Android open stack programming,b.Android open system programming,c.Android open source protocol,d.Android open source project
212,Which of these are not one of the three main components of the APK?,Hard,1,Evaluation-Android,d,a.Dalvik Executable,b.Resources,c.Native Libraries,d.Webkit
213," If you want share the data across the all applications ,you should
 go for?",Hard,1,Evaluation-Android,b,a.Shared Preferences,b.Content provider,c. Internal Storage,d.SQLite Databases
214,Which among these are NOT a part of Andriod native libraries,Medium,1,Evaluation-Android,b)Dalvik,a)WebKit,b)Dalvik,c)OpenGL,d)Sqlite
215,Android is based on Linux for the followoing reasons,Easy,1,Evaluation-Android,d)all of the above,a)Security,b)Portability,c)Networking,d)all of the above
216,What operating system is used as the base of Android stack?,Easy,1,Evaluation-Android,a)Linux,a)Linux,b)windows,c)java,d)XML
